"","drinks.idDrink","drinks.strDrink","drinks.strCategory","drinks.strAlcoholic","drinks.strGlass","drinks.strInstructions","drinks.strDrinkThumb","drinks.strIngredient1","drinks.strIngredient2","drinks.strIngredient3","drinks.strIngredient4","drinks.strIngredient5","drinks.strIngredient6","drinks.strIngredient7","drinks.strIngredient8","drinks.strIngredient9","drinks.strIngredient10","drinks.strIngredient11","drinks.strIngredient12","drinks.strIngredient13","drinks.strIngredient14","drinks.strIngredient15","drinks.strMeasure1","drinks.strMeasure2","drinks.strMeasure3","drinks.strMeasure4","drinks.strMeasure5","drinks.strMeasure6","drinks.strMeasure7","drinks.strMeasure8","drinks.strMeasure9","drinks.strMeasure10","drinks.strMeasure11","drinks.strMeasure12","drinks.strMeasure13","drinks.strMeasure14","drinks.strMeasure15","drinks.dateModified"
"19","11018","Alexander's Sister","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine the gin, creme de menthe, and heavy cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",NA,"Gin","Green Creme de Menthe","Heavy cream","Nutmeg","","","","","","","","","","","","1 1/2 oz ","1 oz ","1 oz ","1/8 tsp grated "," "," "," "," "," ","","","","","","",NA
"20","11019","Alfie Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Lemon vodka","Triple sec","Pineapple juice","","","","","","","","","","","","","1 1/2 oz ","1 dash ","1 tblsp "," "," "," "," "," ","","","","","","","",NA
"21","11020","Algonquin","Ordinary Drink","Alcoholic","Cocktail glass","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",NA,"Blended whiskey","Dry Vermouth","Pineapple juice","","","","","","","","","","","","","1 1/2 oz ","1 oz ","1 oz "," "," "," "," "," ","","","","","","","",NA
"22","11021","Allegheny","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.",NA,"Dry Vermouth","Bourbon","Blackberry brandy","Lemon juice","Lemon peel","","","","","","","","","","","1 oz ","1 oz ","1 1/2 tsp ","1 1/2 tsp ","1 twist of "," "," "," "," "," ","","","","","",NA
"23","11022","Allies Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",NA,"Dry Vermouth","Gin","Kummel","","","","","","","","","","","","","1 oz ","1 oz ","1/2 tsp "," "," "," "," "," ","","","","","","","",NA
"24","11023","Almeria","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"Dark rum","Kahlua","Egg white","","","","","","","","","","","","","2 oz ","1 oz ","1 "," "," "," "," "," ","","","","","","","",NA
"25","11024","Almond Joy","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Amaretto","Creme de Cacao","Light cream","","","","","","","","","","","","","1/2 oz ","1/2 oz white ","2 oz "," "," "," "," "," ","","","","","","","",NA
"26","11025","Amaretto And Cream","Ordinary Drink","Alcoholic","Cocktail glass","Shake well with cracked ice, strain contents into a cocktail glass, and serve.",NA,"Amaretto","Light cream","","","","","","","","","","","","","","1 1/2 oz ","1 1/2 oz "," "," "," "," "," ","","","","","","","","",NA
"27","11026","Amaretto Mist","Ordinary Drink","Alcoholic","Old-fashioned glass","Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",NA,"Amaretto","Lime","","","","","","","","","","","","","","1 1/2 oz ","1 "," "," "," "," "," ","","","","","","","","",NA
"28","11027","Amaretto Rose","Ordinary Drink","Alcoholic","Collins glass","Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.",NA,"Amaretto","Lime juice","Club soda","","","","","","","","","","","","","1 1/2 oz ","1/2 oz ","
","
","
","
","
","
","","","","","","","",NA
"29","11028","Amaretto Stinger","Ordinary Drink","Alcoholic","Cocktail glass","Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",NA,"Amaretto","White Creme de Menthe","","","","","","","","","","","","","","1 1/2 oz ","3/4 oz "," "," "," "," "," ","","","","","","","","",NA
"30","11029","Amaretto Tea","Ordinary Drink","Alcoholic","Pousse cafe glass","Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",NA,"Tea","Amaretto","Whipped cream","","","","","","","","","","","","","6 oz hot ","2 oz ","Chilled "," "," "," "," "," ","","","","","","","",NA
"31","11030","Ambrosia","Ordinary Drink","Alcoholic","Highball glass","Combine and shake all ingredients (except champagne). Pour contents into a highball glass over ice cubes. Fill with chilled champagne, stir lightly, and serve.",NA,"Applejack","Brandy","Triple sec","Lemon","Champagne","","","","","","","","","","","1 oz ","1 oz ","1 dash ","Juice of 1 ","Chilled "," "," "," "," "," ","","","","","",NA
"32","11031","Amer Picon Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Grenadine","Amer Picon","Lime","","","","","","","","","","","","","1 tsp ","1 1/2 oz ","Juice of 1 "," "," "," "," "," ","","","","","","","",NA
"33","11032","American Beauty","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine the brandy, vermouth, creme de menthe, orange juice, and grenadine. Shake well. Strain into a cocktail glass. Pouring slowly and carefully, float the port on top.",NA,"Brandy","Dry Vermouth","White Creme de Menthe","Orange juice","Grenadine","Tawny port","","","","","","","","","","1 oz ","1/2 oz ","1/4 tsp ","1 oz ","1 tsp ","1/2 oz "," "," "," "," "," ","","","","",NA
"34","11033","Andalusia","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients well with cracked ice, strain contents into a cocktail glass, and serve.",NA,"Light rum","Sherry","Brandy","","","","","","","","","","","","","1/2 oz ","1 1/2 oz dry ","1/2 oz "," "," "," "," "," ","","","","","","","",NA
"35","11034","Angel Face","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients well with cracked ice, strain into a cocktail glass, and serve.",NA,"Apricot brandy","Apple brandy","Gin","","","","","","","","","","","","","1/2 oz ","1/2 oz ","1 oz "," "," "," "," "," ","","","","","","","",NA
"36","11035","Angel's Kiss","Ordinary Drink","Alcoholic","Pousse cafe glass","Pour ingredients carefully, in order given, into a pousse-cafe glass so that they do not mix.",NA,"Creme de Cacao","Sloe gin","Brandy","Light cream","","","","","","","","","","","","1/4 oz white ","1/4 oz ","1/4 oz ","1/4 oz "," "," "," "," "," ","","","","","","",NA
"37","11036","Angel's Wing","Ordinary Drink","Alcoholic","Pousse cafe glass","Pour ingredients carefully, in order given, into a pousse-cafe glass so that they do not mix. Serve without mixing.",NA,"Creme de Cacao","Brandy","Light cream","","","","","","","","","","","","","1/2 oz white ","1/2 oz ","1 tblsp "," "," "," "," "," ","","","","","","","",NA
"38","11037","Angler's Cocktail","Ordinary Drink","Alcoholic","Old-fashioned glass","Shake all ingredients with cracked ice, pour contents into an old-fashioned glass over ice cubes, and serve.",NA,"Gin","Grenadine","Bitters","Orange bitters","","","","","","","","","","","","1 1/2 oz ","1 dash ","2 dashes ","3 dashes "," "," "," "," "," ","","","","","","",NA
"39","11038","Ante","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients well with cracked ice, strain contents into a cocktail glass, and serve.",NA,"Apple brandy","Triple sec","Dubonnet Rouge","","","","","","","","","","","","","1 oz ","1/2 oz ","1 oz "," "," "," "," "," ","","","","","","","",NA
"40","11039","Antoine Special","Ordinary Drink","Alcoholic","Red wine glass","Float vermouth on top of chilled Dubonnet in a red wine glass and serve.",NA,"Dubonnet Blanc","Dry Vermouth","","","","","","","","","","","","","","1 1/2 oz ","1 1/2 oz "," "," "," "," "," ","","","","","","","","",NA
"41","11040","Apple Blow Fizz","Ordinary Drink","Alcoholic","Highball glass","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",NA,"Apple brandy","Lemon","Powdered sugar","Egg white","Carbonated water","","","","","","","","","","","2 oz ","Juice of 1/2 ","1 tsp ","1 ","
","
","
","
","
","
","","","","","",NA
"42","11041","Apple Brandy Highball","Ordinary Drink","Alcoholic","Highball glass","Pour apple brandy over ice cubes in a highball glass. Fill with carbonated water and stir. Add a twist of lemon peel on top and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",NA,"Apple brandy","Carbonated water","Lemon peel","","","","","","","","","","","","","2 oz ","
","
","
","
","
","
","
","","","","","","","",NA
"43","11042","Apple Brandy Sour","Ordinary Drink","Alcoholic","Whiskey sour glass","Shake apple brandy, powdered sugar, and juice of lemon with ice and strain into a whiskey sour glass. Decorate with a half-slice of lemon, top with the cherry, and serve.",NA,"Apple brandy","Powdered sugar","Lemon","Lemon","Cherry","","","","","","","","","","","2 oz ","1/2 tsp ","Juice of 1/2 ","1/2 slice ","1 "," "," "," "," "," ","","","","","",NA
"44","11043","Apple Colada","Ordinary Drink","Alcoholic","Collins glass","Blend schnapps, cream of coconut, half-and-half, and 2 cups of crushed ice in an electric blender at a high speed. Pour contents into a collins glass. Decorate with an apple slice and a cherry. Serve with a straw.",NA,"Apple schnapps","Cream of coconut","Half-and-half","Apple","Cherry","","","","","","","","","","","2 oz ","1 oz ","1 oz ","1 slice ","1 "," "," "," "," "," ","","","","","",NA
"45","11044","Apple Pie","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"Light rum","Sweet Vermouth","Applejack","Lemon juice","Grenadine","","","","","","","","","","","1 oz ","1/2 oz ","1 tsp ","1 tsp ","1/2 tsp "," "," "," "," "," ","","","","","",NA
"46","11045","Apple Rum Rickey","Ordinary Drink","Alcoholic","Highball glass","Pour applejack and rum into a highball glass over ice cubes. Fill with carbonated water. Squeeze lime and drop in glass. Stir and serve.",NA,"Light rum","Applejack","Lime","Carbonated water","","","","","","","","","","","","3/4 oz ","3/4 oz ","1/4 ","
","
","
","
","
","
","","","","","","",NA
"47","11046","Applecar","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Applejack","Triple sec","Lemon juice","","","","","","","","","","","","","1 oz ","1 oz ","1 oz "," "," "," "," "," ","","","","","","","",NA
"48","11047","Appled Rum Cooler","Ordinary Drink","Alcoholic","Old-fashioned glass","In a shaker half-filled with ice cubes, combine the rum, applejack, and lime juice. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Top with the club soda.",NA,"Añejo rum","Applejack","Lime juice","Club soda","","","","","","","","","","","","1 1/2 oz ","1/2 oz ","2 tsp ","2 oz "," "," "," "," "," ","","","","","","",NA
"49","11048","Apricot Anise Collins","Ordinary Drink","Alcoholic","Collins glass","Shake gin, brandy, anisette, and lemon juice with ice and strain into a collins glass over ice cubes. Fill with carbonated water and stir lightly. Decorate with the slice of lemon and serve.",NA,"Apricot brandy","Gin","Anisette","Lemon juice","Carbonated water","Lemon","","","","","","","","","","1/2 oz ","1 1/2 oz ","1 1/2 tsp ","1 tblsp ","
","
","
","
","
","
","
","","","","",NA
"50","11049","Apricot Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Gin","Apricot brandy","Lemon","Orange","","","","","","","","","","","","1 tsp ","1 1/2 oz ","Juice of 1/4 ","Juice of 1/4 "," "," "," "," "," ","","","","","","",NA
"51","11050","Apricot Lady","Ordinary Drink","Alcoholic","Old-fashioned glass","In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",NA,"Light rum","Apricot brandy","Triple sec","Lemon juice","Egg white","Orange","","","","","","","","","","1 1/2 oz ","1 oz ","1 tsp ","1/2 oz ","1 ","1 "," "," "," "," "," ","","","","",NA
"52","11051","Arcadia","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"Gin","Galliano","Creme de Banane","Grapefruit juice","","","","","","","","","","","","1 1/2 oz ","1/2 oz ","1/2 oz ","1/2 oz "," "," "," "," "," ","","","","","","",NA
"53","11052","Archbishop","Ordinary Drink","Alcoholic","Old-fashioned glass","In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.","http://www.thecocktaildb.com/images/media/drink/xpqwrt1441207307.jpg","Gin","Wine","Benedictine","Lime","","","","","","","","","","","","2 oz ","1 oz Green Ginger ","1 tsp ","1 "," "," "," "," "," ","","","","","","","2015-09-02 16:21:47"
"54","11053","Arise My Love","Ordinary Drink","Alcoholic","Champagne flute","Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.","http://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg","Champagne","Green Creme de Menthe","","","","","","","","","","","","","","Chilled ","1 tsp "," "," "," "," "," ","","","","","","","","","2015-09-02 16:23:52"
"55","11054","Arthur Tompkins","Ordinary Drink","Alcoholic","Whiskey sour glass","In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist.",NA,"Gin","Grand Marnier","Lemon juice","Lemon peel","","","","","","","","","","","","2 oz ","1/2 oz ","2 tsp ","1 twist of "," "," "," "," "," ","","","","","","",NA
"56","11055","Artillery","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Sweet Vermouth","Gin","Bitters","","","","","","","","","","","","","1 1/2 tsp ","1 1/2 oz ","2 dashes "," "," "," "," "," ","","","","","","","",NA
"57","11056","B And B","Ordinary Drink","Alcoholic","Cordial glass","Float brandy on top of Benedictine in a cordial glass without mixing and serve.",NA,"Brandy","Benedictine","","","","","","","","","","","","","","1/2 oz ","1/2 oz "," "," "," "," "," ","","","","","","","","",NA
"58","11057","Babbie's Special Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Apricot brandy","Gin","Light cream","","","","","","","","","","","","","1 1/2 oz ","1 tsp ","1 tblsp "," "," "," "," "," ","","","","","","","",NA
"59","11058","Bacardi Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"Light rum","Lime juice","Sugar syrup","Grenadine","","","","","","","","","","","","1 3/4 oz Bacardi ","1 oz ","1/2 tsp ","1 dash "," "," "," "," "," ","","","","","","",NA
"60","11059","Bahama Mama","Ordinary Drink","Alcoholic","Collins glass","Combine all ingredients and pour over cracked ice in a collins glass. Decorate with a strawberry or cherry and serve.",NA,"Coffee liqueur","Dark rum","Coconut liqueur","151 proof rum","Lemon","Pineapple juice","","","","","","","","","","1/4 oz ","1/2 oz ","1/2 oz ","1/4 oz ","Juice of 1/2 ","4 oz "," "," "," "," "," ","","","","",NA
"61","11060","Balmoral","Ordinary Drink","Alcoholic","Cocktail glass","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","http://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg","Scotch","Sweet Vermouth","Dry Vermouth","Bitters","","","","","","","","","","","","1 1/2 oz ","1/2 oz ","1/2 oz ","2 dashes "," "," "," "," "," ","","","","","","","2015-09-02 16:04:57"
"62","11061","Baltimore Bracer","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Brandy","Anisette","Egg white","","","","","","","","","","","","","1 oz ","1 oz ","1 "," "," "," "," "," ","","","","","","","",NA
"63","11062","Baltimore Eggnog","Ordinary Drink","Alcoholic","Collins glass","Shake all ingredients well with cracked ice and strain into a collins glass. Sprinkle nutmeg on top and serve.",NA,"Rum","Brandy","Madeira","Egg","Powdered sugar","Milk","","","","","","","","","","1 oz Jamaican ","1 oz ","1 oz ","1 whole ","1 tsp ","3/4 cup "," "," "," "," "," ","","","","",NA
"64","11063","Banana Cow","Ordinary Drink","Alcoholic","Cocktail glass","Shake rum, creme de banana, cream, and grenadine with crushed ice and strain into a cocktail glass. Decorate with the banana slice, sprinkle nutmeg on top, and serve.",NA,"Light rum","Creme de Banane","Cream","Grenadine","Banana","Nutmeg","","","","","","","","","","1 oz ","1 oz ","1 1/2 oz ","1 dash ","1 slice ","
","
","
","
","
","
","","","","",NA
"65","11064","Banana Daiquiri","Ordinary Drink","Alcoholic","Champagne flute","Combine all ingredients (except for the cherry) with 1 cup crushed ice in an electric blender. Blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",NA,"Light rum","Triple sec","Banana","Lime juice","Sugar","Cherry","","","","","","","","","","1 1/2 oz ","1 tblsp ","1 ","1 1/2 oz ","1 tsp ","1 "," "," "," "," "," ","","","","",NA
"66","11065","Banana Punch #1","Ordinary Drink","Alcoholic","Collins glass","Pour brandy, vodka, and juice of lime into a collins glass over crushed ice. Fill with carbonated water and stir. Decorate with banana slices and mint sprigs and serve.",NA,"Apricot brandy","Vodka","Lime","Banana","Carbonated water","Mint","","","","","","","","","","1 1/2 tsp ","2 oz ","Juice of 1/2 ","1/2 ","
"," sprigs
","
","
","
","
","
","","","","",NA
"67","11066","Banana Rum Cream","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"Dark rum","Creme de Banane","Light cream","","","","","","","","","","","","","1 1/2 oz ","1/2 oz ","1 oz "," "," "," "," "," ","","","","","","","",NA
"68","11067","Barbary Coast","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Scotch","Gin","Rum","Creme de Cacao","Light cream","","","","","","","","","","","1/2 oz ","1/2 oz ","1/2 oz ","1/2 oz white ","1/2 oz "," "," "," "," "," ","","","","","",NA
"69","11068","Baron Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients (except lemon wedge) with ice and strain into a cocktail glass. Add the lemon wedge and serve.",NA,"Dry Vermouth","Sweet Vermouth","Triple sec","Gin","Lemon","","","","","","","","","","","1/2 oz ","1/2 tsp ","1 1/2 tsp ","1 1/2 oz ","1 "," "," "," "," "," ","","","","","",NA
"70","11069","Barrier Breaker","Ordinary Drink","Alcoholic","Irish coffee cup","Pour all of the ingreedients into an Irish coffee glass filled with crushed ice. Stir well.",NA,"Dark rum","Galliano","Dark Creme de Cacao","Coffee","Ice","","","","","","","","","","","1 1/2 oz ","1/2 oz ","2 tsp ","4 oz cold ","crushed "," "," "," "," "," ","","","","","",NA
"71","11070","Barton Special","Ordinary Drink","Alcoholic","Old-fashioned glass","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",NA,"Applejack","Gin","Scotch","","","","","","","","","","","","","1/2 oz ","1/4 oz ","1/4 oz "," "," "," "," "," ","","","","","","","",NA
"72","11071","Basic Bill","Ordinary Drink","Alcoholic","Cocktail glass","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",NA,"Añejo rum","Dubonnet Rouge","Grand Marnier","Bitters","","","","","","","","","","","","1 1/2 oz ","1/2 oz ","1/2 oz ","2 dashes "," "," "," "," "," ","","","","","","",NA
"73","11072","Batida Abacaxi","Ordinary Drink","Alcoholic","White wine glass","Place all of the ingredients into a blender. Blend well. Pour into a wine glass.",NA,"Cachaca","Pineapple","Sugar","Ice","","","","","","","","","","","","2 oz ","4 oz ","1/2 tsp granulated ","1 cup crushed "," "," "," "," "," ","","","","","","",NA
"74","11073","Batida Mango","Ordinary Drink","Alcoholic","White wine glass","Place all of the ingredients into a blender. Blend well. Pour into a wine glass.",NA,"Cachaca","Mango","Sugar","Ice","","","","","","","","","","","","2 oz ","4 oz ","2 tsp granulated ","1 cup crushed "," "," "," "," "," ","","","","","","",NA
"75","11074","Batida Morango","Ordinary Drink","Alcoholic","White wine glass","Place all of the ingredients into a blender. Blend well. Pour into a wine glass.",NA,"Cachaca","Strawberries","Sugar","Ice","","","","","","","","","","","","2 oz ","5 very ripe ","1/2 tsp granulated ","1 cup crushed "," "," "," "," "," ","","","","","","",NA
"76","11075","Beachcomber","Ordinary Drink","Alcoholic","Cocktail glass","Place sugar in a saucer. Rub the rim of a cocktail glass with lime wedge and dip glass into sugar to coat rim thoroughly, reserve lime. In a shaker half-filled with ice cubes, combine rum, maraschino liqueur, cherry brandy, and lime juice. Shake well.",NA,"Sugar","Lime","Light rum","Maraschino liqueur","Cherry brandy","Lime juice","","","","","","","","","","2 tsp superfine ","1 ","2 oz ","1 tsp ","1 tsp ","1/2 oz "," "," "," "," "," ","","","","",NA
